loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6221,23.685195922851562,1.866666666666667e-05,1.0,15,,,,,,,,,,,,,,
,,,1.0,15,1.5269466638565063,0.4583333333333333,0.19090909090909092,0.25,0.19166666666666665,0.3159722222222222,2.2436,10.697,2.674,,,,,
1.5114,24.54901123046875,1.7925925925925927e-05,2.0,30,,,,,,,,,,,,,,
,,,2.0,30,1.41753351688385,0.4166666666666667,0.49333333333333335,0.33999999999999997,0.3786666666666666,0.39999999999999997,1.6521,14.527,3.632,,,,,
1.3316,23.484975814819336,1.5703703703703705e-05,3.0,45,,,,,,,,,,,,,,
,,,3.0,45,1.2012187242507935,0.6666666666666666,0.7730769230769231,0.61,0.6653209109730849,0.672791580400276,1.6769,14.312,3.578,,,,,
1.1485,23.348339080810547,1.3481481481481482e-05,4.0,60,,,,,,,,,,,,,,
,,,4.0,60,0.9937607645988464,0.7916666666666666,0.9028571428571428,0.7,0.7292063492063492,0.7604497354497356,1.6723,14.352,3.588,,,,,
0.8818,19.397924423217773,1.125925925925926e-05,5.0,75,,,,,,,,,,,,,,
,,,5.0,75,0.837908923625946,0.7916666666666666,0.9028571428571428,0.7,0.7292063492063492,0.7604497354497356,1.6567,14.486,3.622,,,,,
0.6857,16.844642639160156,9.037037037037037e-06,6.0,90,,,,,,,,,,,,,,
,,,6.0,90,0.6671034693717957,0.8333333333333334,0.9428571428571428,0.8,0.818095238095238,0.8067460317460317,1.67,14.371,3.593,,,,,
0.5213,7.518486499786377,6.814814814814815e-06,7.0,105,,,,,,,,,,,,,,
,,,7.0,105,0.5984671711921692,0.7916666666666666,0.8384615384615385,0.78,0.7946169772256729,0.7744996549344375,1.6777,14.305,3.576,,,,,
0.4296,9.827470779418945,4.592592592592593e-06,8.0,120,,,,,,,,,,,,,,
,,,8.0,120,0.500910222530365,0.7916666666666666,0.8384615384615385,0.78,0.7946169772256729,0.7744996549344375,1.6762,14.318,3.579,,,,,
0.3512,8.38063907623291,2.3703703703703707e-06,9.0,135,,,,,,,,,,,,,,
,,,9.0,135,0.49228110909461975,0.8333333333333334,0.9428571428571428,0.8,0.818095238095238,0.8067460317460317,1.6431,14.607,3.652,,,,,
,,,9.0,135,,,,,,,,,,464.0794,2.456,0.323,29476426592676.0,0.9425687189455385
,,,9.0,135,0.6671034693717957,0.8333333333333334,0.9428571428571428,0.8,0.818095238095238,0.8067460317460317,1.6404,14.63,3.658,,,,,
